timestamp_iso,video_url,video_title,concurrent_viewers,raw_counter_text
2026-03-14T09:08:48.085080,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,4152,4.152 assistindo agora (page_source)
2026-03-14T09:08:48.085080,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,8771,8.771 assistindo agora (page_source)
2026-03-14T09:11:48.604923,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,4492,4.492 assistindo agora (page_source)
2026-03-14T09:11:48.604923,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,9238,9.238 assistindo agora (page_source)
2026-03-14T09:14:48.571878,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,4814,4.814 assistindo agora (page_source)
2026-03-14T09:14:48.571878,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,9575,9.575 assistindo agora (page_source)
2026-03-14T09:17:48.759766,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5012,5.012 assistindo agora (page_source)
2026-03-14T09:17:48.759766,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,9796,9.796 assistindo agora (page_source)
2026-03-14T09:20:48.353771,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5223,5.223 assistindo agora (page_source)
2026-03-14T09:20:48.353771,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10023,10.023 assistindo agora (page_source)
2026-03-14T09:23:49.230796,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5398,5.398 assistindo agora (page_source)
2026-03-14T09:23:49.230796,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10191,10.191 assistindo agora (page_source)
2026-03-14T09:26:50.005000,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5555,5.555 assistindo agora (page_source)
2026-03-14T09:26:50.005000,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10348,10.348 assistindo agora (page_source)
2026-03-14T09:29:48.764083,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5665,5.665 assistindo agora (page_source)
2026-03-14T09:29:48.764083,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10445,10.445 assistindo agora (page_source)
2026-03-14T09:32:49.182680,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5732,5.732 assistindo agora (page_source)
2026-03-14T09:32:49.182680,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10599,10.599 assistindo agora (page_source)
2026-03-14T09:35:50.062735,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5804,5.804 assistindo agora (page_source)
2026-03-14T09:35:50.062735,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10682,10.682 assistindo agora (page_source)
2026-03-14T09:38:49.448237,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5866,5.866 assistindo agora (page_source)
2026-03-14T09:38:49.448237,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10707,10.707 assistindo agora (page_source)
2026-03-14T09:41:49.088898,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5861,5.861 assistindo agora (page_source)
2026-03-14T09:41:49.088898,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10739,10.739 assistindo agora (page_source)
2026-03-14T09:44:50.098205,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5831,5.831 assistindo agora (page_source)
2026-03-14T09:44:50.098205,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10802,10.802 assistindo agora (page_source)
2026-03-14T09:47:50.423048,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5879,5.879 assistindo agora (page_source)
2026-03-14T09:47:50.423048,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10847,10.847 assistindo agora (page_source)
2026-03-14T09:50:51.531389,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5846,5.846 assistindo agora (page_source)
2026-03-14T09:50:51.531389,https://www.youtube.com/watch?v=4CAmwaFJo6k,TV Aparecida - AO VIVO - YouTube,10856,10.856 assistindo agora (page_source)
2026-03-14T09:53:50.576691,https://www.youtube.com/watch?v=juUt-rN5CVo,Santuário Nacional AO VIVO - Você em constante Oração na Casa da Mãe - YouTube,5866,5.866 assistindo agora (page_source)
